,Location_of_Death
"Remains washed ashore at the main port in Melilla, Spain - after attempting the crossing and going missing on 17 May",1
"Hospital in Vranje, Serbia after being transferred by ambulance from the transit-reception center in Presevo, Serbia",1
"Unspecified location in the Piedras Negras sector of the Rio Grande, Morelos, Coahuila de Zaragoza, Mexico",1
"Piedras Negras, Coahuila, Mexico, located in the Rio Grande in the Morelos neighborhood",1
"Near the commercial pier of Melilla port, Melilla, Spain",1
"Off the coast of Kraten, island of Kerkennah, Sfax, Tunisia",1
"Armila river,  Armila, Guna Yala, Panama.",1
"Remains found near Colonia 16 de Setiembre, Ciudad Juarez, Chihuahua, Mexico",1
"Remains washed ashore at Lampi costal area, Kos, Greece - after attempting to swim from Turkish coast bound for Kos. ",1
"Off Al Khums, Libya - only survivor found 15nm off Garabouli",1
"In the bushes in the Agia Triada area, Kardamyla, Chios, Greece - the remains were found 8 days after having crossed from Turkey",1
"Turquesa River, Darien Gap, Comarca EmberÃ¡-CÃ©maco, Panama",1
"Rio Bravo near International Bridge I, Piedras Negras, Coahuila, Mexico",1
"Cadereyta de Jimenez-Dr GonzÃ¡lez Highway, Cadereyta Jimenez, Nuevo Leon, Mexico ",1
"Continental shelf field (near Ras Ajdir), Libya - embarkation from Zuwara on 22 July 8:00",1
"Unspecified location in the Mediterrenean, SAR op took place 124m off the coast of Calabria, Italy - presumed embarkation from Eastern Libya",1
"Off Abu Kammash west of Zuwara, Libya",1
"Near the estuary of Khnifiss lake, Akhfennir, Terfaya, Morocco",1
"11 kilometers off the island of New Providence, Bahamas (International Caribbean Waters)",1
"On a main street in Tuban, Lahij, Yemen",1
"Remains washed ashore at Sabratah, Libya (3KM East of Sabratah DP)",1
"Near Farwa Island north of Zuwara, Libya",1
"Mexicali, Baja California,Mexico ",1
"11 kilometers off the coast of New Providence, Bahamas",1
"Membrillo River, Darien Gap, ComarcÃ¡ EmberÃ¡-CÃ©maco, Panama",1
"A lake near Pylaia, Evros, Greece",1
"Near Kufra District, Libya",1
"SebhÄ, Libya",1
"Remains washed ashore at Ein El Ghazala 60KM West Tobruk, Libya",1
"Capsized near ""The Great Rock/Baynam"", El Hammamet (West of Algiers), Algeria",1
"Remains washed ashore 4KM East of Sabratah disembarkation point, Sabratah, Libya",1
"In the coast off of Karaada, Izmir, TÃ¼rkiye",1
"A valley behind the military barracks near the border, Melilla, Spain",1
"Rio Grande, in the Northern part of Ciudad JuÃ¡rez, Chihuahua, Mexico, around 2:00 p.m. Downstream east of the giant, red The X monument in JuÃ¡rez, Mexico",1
Unsepcified location in the Evros River between Greece and TÃ¼rkiye,1
"Remains washed ashore at Plage Oamarit and Rass Marmour, Hassi El Jerbi, Zarzis, Tunisia",1
"Unspecified location in the Mediterrenean, last contact near Sardegna, Italy -  embarkation from Labrach, Bizerte, Tunisia",1
"At the depth of 2 meters and 15 meters off the coast of KuÅadasÄ± near National Park SazlÄ±k Bay, AydÄ±n, TÃ¼rkiye",1
"Off Fuerteventura, Canary Islands, Spain",1
"Boca de MarragantÃ­ River, Comarca EmberÃ¡-CÃ©maco, Darien National Park, Panama",1
"Declared dead in hospital following rescue operation South Chania, Crete, Greece - boat sailed from East Lebanon 26 Aug towards Italy and broke down in Maltese SAR Zone - survivors disembarked in Kalous Limenes port, Crete",1
"Remains washed ashore at Stehat beach, Chefchaouen, Morocco",1
"Rio Bravo near Camino Real International Bridge,Piedras Negras, Coahuila, Mexico",1
"Near La Paloma,Cameron County, Texas",1
"7 nautical miles off the coast of Chebba, Mahdia, Tunisia - embarkation from Awabed, Sfax the night before",1
"Remains washed ashore at Bougrar beach, Daryanah, Libya",1
"Remains washed ashore at Tolmeitha, Libya",1
"Bravo River near Aquiles Serdan Colony, Reynosa Tamaulipas, Mexico",1
"Al-Baghdadi beach, Mahdia governorate, Tunisia",1
"Bravo River in La Herradura, City , Gustavo Diaz Ordaz, Tamaulipas, Mexico",1
"Waterway south of Conway Avenue, near a recreational trail known as the Mission Hike and Bike Trail,Mission, Hidalgo County, Texas",1
"Off the coast of  off the coast of Marmaris/KÄ±zÄ±lburun, Mugla, TÃ¼rkiye - departure from Tripoli, Lebanon on 10 September, aiming for Italy",1
"Akhfennir beach, between Tarfaya and Akhfennir, Morocco",1
"Rio Bravo in Heroica de Matamoros, Tamaulipas, Mexico",1
"Rio Bravo in Piedras Negras, Coahuila, Mexico ",1
"Near San Vicente, Darien Gap, Darien Province, PanamÃ¡",1
"International Waters, Caribbean Sea, 14 miles off the Florida Keys",1
"Remains washed ashore at Benzu Beach, Ceuta, Spain",1
"Piedras Negras Coahuila de Zaragoza, Mexico",1
"Unspecified location near MarrantÃ­ River, Darien Gap, ComarcÃ¡ EmberÃ¡-CÃ©maco, Panama",1
"40 KM off the port of Gabes, Tunisia",1
"Mutlu River between Bulgaria and TÃ¼rkiye  near Begendik, Demirkoy, TÃ¼rkiye",1
"Unspecified location, Greek Side of the Evros River near UzunkÃ¶prÃ¼, Edirne, TÃ¼rkiye",1
"Unspecified location, Greek Side of the Evros River near Edirne Merkez, TÃ¼rkiye",1
"Remains retreived near El Ketef port, Ben Gardane, Tunisia",1
"Two kilometers from the Algerian border, near Tozeur, Tunisia",1
"Hospital Materno Infantil de Gran Canaria, Spain",1
"Bulgarian side of the border near TopÃ§ular, KofÃ§az, TÃ¼rkiye",1
"Greek side of the border, Evros River, near Rahmanca, MeriÃ§, TÃ¼rkiye",1
"Unspecified location in the woods in Greece, not near the Turkish border",1
"Unspecified location between the Evros River and AdasarhanlÄ±, MeriÃ§, TÃ¼rkiye",1
"Unspecified location in the Rio Bravo, Piedras Negras, Coahuila, Mexico",1
"Rio Bravo near La Nogalera, Piedras Negras, Coahuila, Mexico",1
"La Paloma ranch, Eagle Pass, Maverick County, Texas, United States",1
"Regional Medical Center in Yuma, Yuma County, Arizona",1
"Remains washed ashore at Al Farwa Island, 4 KM North of Abu Kammash, Libya",1
"East Tolmeitha, 100 KM East Benghazi, Libya",1
"In the trunk of a car at the port of Algeciras, CÃ¡diz, Spain",1
"Unspecified location in the Mediterrenean off the Southeastern coast of Spain - presumed embarkation on 21 August from Chlef, Algeria",1
"Car fell into river RÃ©pce from a bridge on the outskirts of KapuvÃ¡r, GyÅr-Moson-Sopron, Hungary",1
"7 kilometers North of Zuwara, Libya - at 02:00hrs",1
"Unspecified location in the Libyan desert, Libya on the Egyptian border",1
"Bravo river in Piedras Negras, Coahuila (Rio Bravo Islets), Mexico",1
"The Evros River near SarÄ±caali Village, TÃ¼rkiye",1
"Outside of the villge of ÃaÄalayÄ±k/KÄ±rklareli Merkez/KÄ±rklareli, TÃ¼rkiye",1
"Evros River near Ipsala Custom Gate, Ipsala, Edirne, TÃ¼rkiye",1
"Greek side of the Evros River near SaÃ§lÄ±mÃ¼sellim village, MeriÃ§ district, TÃ¼rkiye",1
"Highway 57, at the height of Ejido 1Âº de Mayo, in the Sabinas-Monclova section,Las Adjuntas, Coahuila de Zaragoza, Mexico",1
"Bravo River in Piedras Negras, Coahuila de Zaragoza, Mexico",1
"Junction of Federal Highway 57 with Ramos Arizpe, Coahuila de Zaragoza ,Mexico",1
"Amanat Al Asimah Governorate (Capital Municipality), Yemen",1
"Qatroun Qarawy hospital Al Qatroun, Murzuq, Libya",1
"In central hospital Jawf and Kufra migrant shelter, Bzimah jadida, Al Kufra, Libya",1
"En route to Tripoli from Qira, Brak, Wadi Al Shatii, Libya",1
"Shat-Albadien - Ar Raqtah, 105KM South of Benghazi, Libya",1
"By the Neris River in BuivydÅ¾iai, Vilnius District Municipality, Lithuania",1
"Skeletal remains found by volunteers near Czerlonka in the Bialowieza Forest, Poland",1
"In the mountains of Jahran, the Ar Raqw area, Monabbih District, Sa'dah Governorate, Yemen",1
"Remains recovered from Swislocz river near Ozierany, Poland",1
"Remains found by Italian authorities on boat with 45 survivors. Boat departed from Sfax, Tunisia.",1
Unspecified location in Belarus near border with Lithuania,1
"North side of secondary border barrier 2.5 miles east of San Ysidro Port of Entry, San Diego county, California",1
"Al Qafr District, Ibb Governorate, Yemen",1
"Imrana, on the route between Niger and Sabha, Libya",1
"Al Sabeen District, Sana'a - Amanat Al Asimah Governorate, Yemen",1
"Sa'dah, Sa'dah governorate, Yemen",1
"Khab wa ash Sha'af, Al Jawf Governorate, Yemen",1
"Al Hazm, Al Jawf Governorate, Yemen",1
"Al Bayda', Yemen",1
"Al Ghar valley, Jawf Governorate, Yemen",1
"Wadi Al Ahmar and Red Valley, Saudi Arabia",1
" Al Qaâidah city, Taiz governorate, Yemen",1
"Abandoned truck on highway near Lokorsko, Bulgaria",1
Unspecified location at the Algerian border with Niger,1
"On the road between Arlit (Niger) and Tamanrasset, Algeria",1
"At Kufra migrant shelter, Jawf, Al Kufra",1
"At Kufra migrant shelter, Bzimah jadida, Al Kufra",1
"Jawf, Al Kufra, Libya",1
"Qasr Masoud, Al Qatroun, Murzuq, Libya",1
"Off AlmerÃ­a, Spain - departure from Nador, Morocco",1
"Unspecified location between Libya and Lampedusa, Italy in Italian SAR Zone",1
"Unspecified location between Libya and Augusta, Italy after SAR operated by Ocean Viking",1
"Off the coast of Kos, Greece",1
Unspecified location off the coast of Malta,1
"Unspecified location off the coast of Lesvos, Greece",1
"Remains found off the coast of Calamocarro, Ceuta, Spain",1
"Remains found near La Manga beach, Murcia, Spain",1
"Unspecified location attempting to cross from Morocco to Ceuta by sea. One man recovered by Spanish CG, one by Moroccan CG.",1
"Off the coast of Mohammedia, Morocco",1
Woman found dead on boat found at unspecified location off the coast of Morocco. Remains brought back to Tarfaya,1
"Unspecified location between Libya and Portopalo, Sicily, Italy in Italian SAR Zone",1
"Unspecified location between Libya and Messina, Italy in Italian SAR Zone",1
"Unspecified location between Libya and Corigliano di Rossano, Italy in Italian SAR Zone",1
"Unspecified location between Libya and Crotone, Calabria, Italy in Italian SAR Zone",1
"Unspecified location between Libya and Augusta, Sicily Italy in Italian SAR Zone",1
"Bravo River in Piedras Negras Coahuila, Mexico",1
"70 KM South Jalu, Wahat on route from Jawf, Al Kufra, Libya",1
"Umm El Aranib, Al Sharguiya, Murzuq, Libya",1
"On road between Jaziret EL Sousy and Jaziret El Swedeya near gas station, El Jawf, Al Kufra, Libya",1
"In the sands at El Afia, Brak, Wadi Al Shatii, Libya",1
"En route to Tripoli approx. 135 KM from Qira, Brak, Wadi Al Shatii, Libya",1
"On the route between Sabha and Qira, Brak, Wadi Al Shatii, Libya",1
At the Nigerian border near Toummo after crossing from Libya,1
"Off Al Houichette, Bizerte, Tunisia",1
"In front of the Coast of Artemisa (BatabanÃ³ Gulf), Cuba",1
"5 meters away from fence with Poland, Belarus",1
"Remains washed ashore at the Port of Ceuta, Spain",1
"International Railway Bridge, on CÃ©sar LÃ³pez de Lara Ave, Nuevo Laredo, Tamaulipas, Mexico",1
"Uninhabited place between Allende and Villa Union, Zona Centro Piedras Negras Coahuila,Mexico",1
"La Silla Hotel, Calle Juan MÃ©ndez Nte 1518, Sarabia, 64490 Monterrey, Nuevo Leon, Mexico",1
"Off the coast of Cardenas, near Cayo Cruz de Padre, Cuba",1
Unspecified location on the Belarus-Poland border,1
"60 km East of Tripoli, Libya, off the coast of Garabulli (Castelverde), Libya",1
"Limionas beach, near Limniona, Evia, Greece ",1
"Unspecified location near the Polish border in the Pruzhany region, Belarus",1
"In Maltese SAR Zone, 42 miles off Lampedusa, Italy - embarkation from Sfax, Tunisia",1
"General Hospital of Leros, Leros, Greece,Off Panteli Southeast of Leros, Greece",1
"Remains retrieved from the coast of BenzÃº, Ceuta - missing for one week",1
"Near Madama, Niger",1
"Off Castillo de Macenas, MojÃ¡car, AlmerÃ­a, Spain",1
"Boat capsized East of Qasr Al-Akhyar, Libya - remains washed ashore in Qasr Al-Akhyar",1
"Off Proboscis East of Lesvos, Greece",1
"Central medical Hospitalier, Obock, Djibouti",1
"Remains washed ashore at Ad Dafiniyah, Misrata, Libya",1
"Remains washed ashore at El Matorral, between Antigua and Puerto del Rosario, Fuerteventura, Canary Islands, Spain,Remains washed ashore at Playa El Burro, La Oliva, Fuerteventura, Canary Islands, Spain",1
"37 KM east of Arrecife, Lanzarote, Canary Islands, Spain - departure from Tan Tan, Morocco - disemembarkation at Arrecife",1
"Rio Bravo near Puente Internacional 1(Eagle Pass International Bridge Sistem), Piedras Negras, Coahuila de Zaragoza, Mexico",1
"Near the border line in Tijuana, Baja Califronia, Mexico",1
"Bodies found at Gorjna Bebrina, Brod/Posavina County, Croatia",1
"Kilometer 30 of the highway from PesquerÃ­a to Los Ramones by an irrigation canal, Pesqueria, Nuevo Leon, Mexico",1
"Masacre River (natural borderline between Haiti and the Dominican Republic) DajabÃ³n, Dominican Republic",1
"Instituto Mexicano del Serguro Social Hospital, Ciudad JuÃ¡rez, Chihuhua, Mexico",1
"In a hospital in Sicily, Italy after medical evacuation by helicopter - second rescue by Sea-Eye-4,On board a boat at unspecified location in the Central Med rescued by Sea-Eye-4 - disembarkation at Naples, Italy",1
"Remains washed ashore in Ä°nceburun, Bodrum district, MuÄla, TÃ¼rkiye",1
"At Toummo, Libya shortly after crossing from Nagaza, Niger",1
"On route between Ashgour and Emzigar wells, Niger",1
"Tchirozerine en route from Arlit to Agadez, Niger",1
"Nido de las Aguilas, Tijuana, Baja California, Mexico",1
"77 KM West of Chirfa, Niger - departure from Agadez, Niger",1
"Darien National Park, near Boca de Marraganti River, Comarca EmberÃ¡-CÃ©maco, Panama(P)",1
"Remains washed ashore near Misfat Al Zawiyah DP, Al Zawiyah, Libya",1
"Railroad tracks near Trinity Rail, Sabinas, Coahuila de Zaragoza, Mexico",1
"Died in Nis clinical centre, Serbia after arriving in RC Presevo with respiratory illness presumably contracted during/exacerbated by journey",1
"Off Garabulli (Castelverde), Libya - embarkation from Garabulli on 1 Jan 21:00 and disembarkation at Tripoli port",1
"38 miles off the island of Lampedusa, Italy",1
"BiaÅowieÅ¼a forest near HajnÃ³wka, Poland",1
"At a police checkpoint on Van-Ãzalp highway, Van, TÃ¼rkiye",1
"On the roof of a TER passenger train in Menton Garavan station, Menton, France",1
"Remains washed ashore at Az-Zuwaytinah (LRC Ajdabiya branch), Libya",1
"Remains washed ashore at Al Mutrid beach, West Zawiyah, Libya",1
"Rio Bravo in Claudette Colony, Nuevo Laredo, Tamaulipas, Mexico",1
"Rio Bravo in Las Adjuntas Colony, Piedras Negras, Coahuila de Zaragoza, Mexico",1
"Unspecified location in BiaÅowieÅ¼a Forest, Poland",1
"Remains washed ashore West of Brega, Libya",1
"Near Farol do Morro Negro, Boa Vista, Cabo Verde",1
"Remains washed ashore at Az-Zuwaytinah, Libya",1
"Remains washed ashore between Al Arasah and Bishr (10 KM West of Brega), Al Wahat, Libya",1
"Coachella Canal, Brawley, Imperial County, California, 92227",1
"Off Tipaza, Algeria",1
"Off Oran, Algeria - departure from Oran",1
"Remains washed ashore at Beni Ansar, Nador, Morocco - Attempted crossing to Melilla 10 days earlier",1
"Unspecified location in the Turquesa River, Comarca EmberÃ¡ CÃ©maco, Darien Gap, Panama",1
"Salvador Chavarria General Hospital, Piedras Negras, Coahuila, MÃ©xico",1
"Near the Municipal Cemetery at the Santiago Ramirez neighborhood, TorreÃ³n, Coahuila, Mexico",1
"At the border wall on Playas de Tijuana,Tijuana, Baja California, Mexico",1
"Fuerte MendizÃ¡bal, close to the border fence, Ceuta, Spain",1
"Federal Highway #57 close to Castanos, Coahuila, Mexico",1
"10 miles South of the coast of Lamedusa, Italy",1
"Rocks near Fara Beach, Lesvos, Greece",1
"Irrigation canal near ÃncÃ¼ler, Harran/ÅanlÄ±urfa, TÃ¼rkiye",1
"RÄzeknes slimnÄ«cÄ, 18. novembra iela 41, RÄzekne, LV-4601, Latvia",1
"Off the coast of KuÅadasÄ± district, TÃ¼rkiye, near Samos, Greece",1
"Rio Bravo near Black Railroad Bridge (Puente Negro del Ferrocarril),Piedras Negras, Coahuila, Mexico",1
"Off Mostaganem, Algeria - departure from Marsa, Mostaganem",1
"Remains retreived off Kerkennah Island, Tunisia",1
Unspecified location near the Polish barrier with Belarus,1
"On the beach of Safi (Asfi), Morocco - embarkation from Tan-Tan, Morocco 13-15 days earlier",1
"Rio Bravo, around the train bridge, Piedas Negras, Coahuila, Mexico",1
"On Blv. Juan Pablo II and Del Charro Av., Ciudad Juarez, Chihuahua, Mexico",1
"Off the coast of Selaata (North of Beirut), Lebanon",1
"Forest near Ahmetler village, KÄ±rklareliâs KofÃ§az district, TÃ¼rkiye near border with Bulgaria",1
"Shortly after departure from Mirleft, Morocco en route to Las Palmas, Canary Islands, Spain",1
